	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_HYPOXIA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_MITOTIC_SPINDLE	HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_DNA_REPAIR	HALLMARK_G2M_CHECKPOINT	HALLMARK_APOPTOSIS	HALLMARK_NOTCH_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_MYOGENESIS	HALLMARK_PROTEIN_SECRETION	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_SURFACE	HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_COMPLEMENT	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_E2F_TARGETS	HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_GLYCOLYSIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_DN	HALLMARK_ANGIOGENESIS	HALLMARK_HEME_METABOLISM	HALLMARK_COAGULATION	HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_PEROXISOME	HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_SPERMATOGENESIS	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_PANCREAS_BETA_CELLS
TCGA-W5-AA2X-01A	0.558196894	0.619693258	0.697125031	0.650131326	0.664158413	0.716840057	0.397444961	0.767931495	0.7316775	0.643165778	0.6978681	0.681852699	0.574757028	0.612830981	0.675642258	0.38939028	0.75644098	0.52109319	0.447800789	0.501977085	0.367346599	0.387534543	0.495998656	0.806453178	0.645952707	0.810243958	0.752445132	1	0.835495086	0.565268152	0.27779313	0.580561459	0.6800489	0.86945288	0.698974261	0.812428544	0.67839949	0.671830759	0.510389198	0.619138861	0.555938092	0.497482549	0.476731566	0.391560399	0.644745519	0.307840089	0.197197633	0.39882763	0.04430424	0.170539212
TCGA-ZH-A8Y5-01A	0.634924256	0.626966135	0.700724434	0.617951514	0.527286832	0.791456051	0.484360607	0.73089231	0.56257694	0.679603129	0.683781988	0.699907238	0.591668708	0.591375932	0.652063155	0.467618096	0.800383025	0.633412712	0.534774294	0.570541481	0.417253363	0.335511853	0.51616911	0.755352946	0.625434535	0.711938633	0.56619241	0.910380685	0.689549663	0.690272901	0.325110834	0.564060866	0.652941301	0.87051061	0.651723504	0.769278751	0.657807456	0.685895589	0.550073608	0.773062699	0.550711516	0.573619034	0.492868344	0.400649068	0.611281047	0.325759513	0.103608609	0.422040334	0.053028849	0.12741508
TCGA-W5-AA33-01A	0.741507336	0.655776751	0.734518627	0.614895433	0.520860801	0.804808114	0.587215336	0.714219072	0.571433557	0.740025287	0.641048411	0.729352054	0.582900159	0.579778132	0.703264093	0.452750485	0.759598936	0.676243223	0.627577556	0.55972479	0.464170379	0.401017972	0.627914104	0.761270603	0.630230257	0.734189414	0.590892511	0.911062712	0.713285971	0.722815537	0.481541428	0.739966534	0.726063276	0.845625574	0.631184687	0.78624638	0.705446161	0.687048777	0.586417768	0.782528093	0.553947845	0.75237612	0.573601239	0.584656589	0.690247126	0.522777762	0.087908483	0.522331914	0.063152203	0.187343673
TCGA-ZH-A8Y8-01A	0.802954806	0.70160325	0.758354633	0.576679066	0.480210788	0.810262422	0.610774944	0.721361241	0.547983513	0.758334752	0.647234046	0.73762667	0.606664124	0.614523785	0.715813883	0.480045343	0.780760315	0.699622199	0.647544445	0.593042331	0.408191214	0.384863836	0.651895646	0.803383659	0.639758198	0.794328581	0.556117879	0.927282149	0.7381215	0.759730288	0.492081997	0.697805417	0.705160164	0.87125247	0.685708315	0.809124243	0.700764768	0.69147289	0.58101191	0.771863293	0.548398037	0.767879545	0.578565889	0.54384346	0.675850463	0.525624458	0.09883062	0.572294586	0.065448885	0.276122342
TCGA-WD-A7RX-01A	0.708829824	0.646662619	0.764040657	0.568568397	0.450904636	0.736969595	0.618411258	0.745740791	0.574776736	0.728453152	0.629499032	0.757917811	0.551643847	0.588011947	0.670489213	0.4536968	0.713380938	0.755979218	0.686111721	0.53438392	0.420368094	0.357670744	0.643038114	0.768309715	0.632655551	0.754592071	0.621546201	0.932548658	0.734312386	0.654127217	0.479404663	0.807069148	0.781458716	0.913841026	0.65254108	0.809326965	0.686926537	0.709498175	0.537397075	0.719979874	0.551569343	0.798955336	0.583850479	0.629725019	0.712507657	0.572865287	0.119561143	0.505737791	0.079031111	0.227744487
TCGA-W5-AA34-01A	0.702775352	0.632939524	0.665500235	0.590180353	0.502327517	0.755896931	0.538491371	0.756260215	0.582507979	0.693020645	0.689178965	0.723088209	0.532810088	0.518966669	0.61456469	0.421238067	0.740069642	0.667088589	0.599282494	0.541092247	0.413408706	0.324355747	0.56562463	0.767428084	0.63527356	0.737938062	0.607094015	0.940495235	0.760618923	0.611209687	0.418457692	0.593037318	0.674606888	0.910787725	0.652825861	0.770743641	0.677562057	0.680065519	0.541416991	0.673952563	0.544539298	0.598558184	0.52962177	0.43755016	0.658300195	0.446033417	0.130463871	0.459786304	0.029441916	0.134643239
TCGA-W6-AA0S-01A	0.806071531	0.722010199	0.748268088	0.624570233	0.476671969	0.780254524	0.617844494	0.753692106	0.619308169	0.749690327	0.615808025	0.722510319	0.589380612	0.559947436	0.690377232	0.459440675	0.794663205	0.684327317	0.646284423	0.588548683	0.449617979	0.381912696	0.573783573	0.815817763	0.638516762	0.804928862	0.634044619	0.948120415	0.751818622	0.763082343	0.522149133	0.574543832	0.67079773	0.917427709	0.69233371	0.781427081	0.701134324	0.726259532	0.592314315	0.766954437	0.562323398	0.583647888	0.584959404	0.420371245	0.641876493	0.502114823	0.130365705	0.52380786	0.023390551	0.193993313
TCGA-4G-AAZO-01A	0.680454806	0.614501034	0.667711088	0.573632783	0.514941337	0.755379234	0.512323917	0.745607684	0.527983019	0.685724278	0.63825885	0.698789354	0.553661249	0.544271905	0.653159626	0.40118272	0.794606866	0.804537569	0.671398488	0.536062856	0.397635202	0.387394336	0.53609992	0.776295139	0.624437124	0.722685789	0.536392828	0.914044653	0.672776558	0.579428137	0.419652626	0.551870372	0.648104524	0.877033599	0.613471187	0.733561225	0.683546118	0.645093762	0.521145309	0.659154706	0.540466666	0.515478712	0.539279118	0.417867642	0.63691481	0.448428457	0.093773555	0.451715238	0.037625885	0.156160211
TCGA-W5-AA31-01A	0.704615005	0.655651599	0.708388881	0.599297645	0.516580305	0.805835451	0.604984398	0.713944637	0.585237486	0.696525281	0.702535843	0.727999388	0.528489187	0.540943231	0.691148238	0.453417723	0.818348326	0.671940105	0.597809558	0.575817368	0.46644922	0.451961056	0.611490299	0.802009845	0.641281005	0.755254678	0.581041598	0.929990527	0.713146799	0.726857174	0.447823242	0.741727224	0.724123845	0.856339	0.657008267	0.779391989	0.681740165	0.70385885	0.563644947	0.799371851	0.541891102	0.773147015	0.531498397	0.55597147	0.68952951	0.44661794	0.104650277	0.505181725	0.076636536	0.173909719
TCGA-W5-AA2W-01A	0.655387491	0.628738377	0.710127426	0.650310548	0.4808165	0.758883063	0.511631609	0.75443157	0.658004725	0.664369764	0.636850305	0.734456383	0.528044468	0.517340279	0.644405254	0.437994653	0.783202872	0.722552341	0.635893711	0.534408019	0.367125144	0.344926051	0.533344083	0.779035064	0.623284393	0.77125457	0.668698626	0.945329202	0.710298999	0.610642466	0.392477364	0.562536903	0.669229444	0.915478118	0.641437594	0.766570612	0.658730818	0.662346421	0.523462287	0.715307425	0.51786809	0.588091757	0.507307095	0.455274279	0.652111646	0.420744828	0.117890141	0.441689659	0.042894107	0.142573997
TCGA-ZH-A8Y4-01A	0.626730023	0.63826395	0.712989092	0.626820487	0.454828981	0.724405912	0.506491766	0.75049805	0.614946596	0.668364475	0.617109792	0.771520752	0.550278824	0.561456113	0.641988589	0.442851543	0.793665032	0.654418803	0.571717907	0.552219354	0.34980071	0.389325049	0.552650967	0.79381348	0.638846948	0.79063689	0.643340363	0.947712052	0.753678526	0.659551799	0.385620896	0.672788155	0.714885465	0.936280315	0.659087447	0.818226776	0.673093538	0.66064048	0.52745029	0.689419459	0.557362122	0.685135608	0.493740491	0.525103642	0.676878489	0.385193356	0.124334227	0.412379411	0.016096873	0.178264879
TCGA-W5-AA2T-01A	0.577076529	0.606961472	0.699125217	0.637217617	0.461541941	0.747550859	0.432481413	0.75147764	0.665332627	0.667065262	0.705730181	0.721106218	0.528844572	0.546281643	0.644393613	0.451171782	0.739359162	0.591781244	0.500752366	0.542053813	0.402295133	0.357530352	0.502852002	0.742624915	0.623277033	0.720589335	0.698955327	0.926200264	0.687088268	0.619834131	0.298882183	0.587643856	0.664101953	0.862629409	0.634055902	0.766560042	0.654156543	0.669494611	0.491020038	0.713319104	0.543339956	0.60015555	0.463662649	0.452648317	0.652453197	0.352449638	0.165947467	0.375780723	0.059352245	0.159143469
TCGA-4G-AAZT-01A	0.641624716	0.583531882	0.677369229	0.497982618	0.505328901	0.696863174	0.528982351	0.767022808	0.478132437	0.679059618	0.58912846	0.717206722	0.523575652	0.552343036	0.574577061	0.463686933	0.661065735	0.672594462	0.591731299	0.528701618	0.409172591	0.306505706	0.534641094	0.73994536	0.584020739	0.680086531	0.509780207	0.909658695	0.755085529	0.591504355	0.378668412	0.586092698	0.685874868	0.899588633	0.608045985	0.816842714	0.67812226	0.662856024	0.471331321	0.680548208	0.527427796	0.580744971	0.534000625	0.47261795	0.648414096	0.449574118	0.106325886	0.427298351	0.047366082	0.198717329
